Time,Key_Press
1732331344,?
1732331344,?
1732331345,@
1732331345,8
1732331345,e
1732331346,8
1732331346,1
1732331346,9
1732331347,Key.shift
1732331347,Key.home
1732331347,Key.backspace
1732331370,Key.shift
1732331370,Key.home
1732331370,Key.backspace
1732331371,d
1732331371,s
1732331371,a
1732331372,Key.backspace
1732331372,Key.backspace
1732331372,Key.backspace
1732331372,Key.backspace
1732331372,Key.backspace
1732331373,y
1732331374,a
1732331374,y
1732331374,y
1732331374,y
1732331374,s
1732331374,s
1732331375,Key.shift
1732331375,Key.home
1732331376,Key.backspace
